GOTERM,GONAME,Fasta,NaCl60gLRPKM,NaCl20_100_3.6gLRPKM,Treatment
GO:0055085,transmembrane transport,TD01GL001750,1.786926589,1.948559106,20gNaCl
GO:0055085,transmembrane transport,TD01GL001757,1.548316831,1.336443259,20gNaCl
GO:0055085,transmembrane transport,TD01GL001764,1.780070055,1.564177006,20gNaCl
GO:0055085,transmembrane transport,TD01GL001765,1.578015756,1.652830375,20gNaCl
GO:0055085,transmembrane transport,TD01GL001766,1.674930877,1.557932983,20gNaCl
GO:0055085,transmembrane transport,TD01GL001767,1.594928875,1.81445759,20gNaCl
GO:0055085,transmembrane transport,TD01GL001993,1.581204305,1.43157493,20gNaCl
GO:0055085,transmembrane transport,TD01GL002017,1.356623857,1.534715478,20gNaCl
GO:0055085,transmembrane transport,TD01GL002068,1.381083535,1.674518017,20gNaCl
GO:0055085,transmembrane transport,TD01GL002069,1.969231097,1.706349178,20gNaCl
GO:0055085,transmembrane transport,TD01GL002080,0.797889653,0.557982073,20gNaCl
GO:0055085,transmembrane transport,TD01GL002091,1.203101849,0.87921918,20gNaCl
GO:0055085,transmembrane transport,TD01GL002092,1.664872746,1.234387898,20gNaCl
GO:0055085,transmembrane transport,TD01GL002127,1.533475694,0.905388896,20gNaCl
GO:0055085,transmembrane transport,TD01GL002128,1.79457599,1.003592661,20gNaCl
GO:0055085,transmembrane transport,TD01GL002152,1.701644914,1.751456372,20gNaCl
GO:0055085,transmembrane transport,TD01GL002341,1.823588592,2.09143421,20gNaCl
GO:0055085,transmembrane transport,TD01GL002412,2.883447788,2.539985267,20gNaCl
GO:0055085,transmembrane transport,TD01GL002619,1.905441732,1.960232489,20gNaCl
GO:0055085,transmembrane transport,TD01GL002620,1.994278754,2.105862322,20gNaCl
GO:0055085,transmembrane transport,TD01GL002681,1.756567016,1.857304351,20gNaCl
GO:0055085,transmembrane transport,TD01GL002766,1.573726532,1.72743064,20gNaCl
GO:0055085,transmembrane transport,TD01GL002772,2.218286135,1.988295066,20gNaCl
GO:0055085,transmembrane transport,TD01GL002795,1.921531895,1.73260157,20gNaCl
GO:0055085,transmembrane transport,TD01GL002864,1.13900307,1.346235931,20gNaCl
GO:0055085,transmembrane transport,TD01GL002880,1.150025302,1.028687434,20gNaCl
GO:0055085,transmembrane transport,TD01GL002889,1.399256272,1.603295423,20gNaCl
GO:0055085,transmembrane transport,TD01GL002902,1.548294216,1.710937675,20gNaCl
GO:0055085,transmembrane transport,TD01GL002978,2.000025659,1.992245859,20gNaCl
GO:0055085,transmembrane transport,TD01GL003008,2.011658858,2.040645557,20gNaCl
GO:0055085,transmembrane transport,TD01GL003035,3.081401213,3.181131135,20gNaCl
GO:0055085,transmembrane transport,TD01GL003089,1.978874236,2.002991858,20gNaCl
GO:0055085,transmembrane transport,TD01GL003118,2.449810629,2.4797733,20gNaCl
GO:0055085,transmembrane transport,TD01GL003166,1.656956846,1.734097149,20gNaCl
GO:0055085,transmembrane transport,TD01GL003279,1.735377844,1.802030501,20gNaCl
GO:0055085,transmembrane transport,TD01GL003294,0.960330032,0.946528547,20gNaCl
GO:0055085,transmembrane transport,TD01GL003295,0.886529285,0.678910447,20gNaCl
GO:0055085,transmembrane transport,TD01GL003296,1.171598622,0.834420898,20gNaCl
GO:0055085,transmembrane transport,TD01GL003427,1.028890451,0.998358691,20gNaCl
GO:0055085,transmembrane transport,TD01GL003448,2.202217445,2.159720773,20gNaCl
GO:0055085,transmembrane transport,TD01GL003552,1.680949562,1.622319724,20gNaCl
GO:0055085,transmembrane transport,TD01GL003585,2.273157302,2.086786164,20gNaCl
GO:0055085,transmembrane transport,TD01GL003621,2.512714916,2.319590624,20gNaCl
GO:0055085,transmembrane transport,TD01GL003684,2.231967148,1.368946905,20gNaCl
GO:0055085,transmembrane transport,TD01GL003685,3.480186931,2.389760602,20gNaCl
GO:0055085,transmembrane transport,TD01GL003712,1.725561616,1.787514194,20gNaCl
GO:0055085,transmembrane transport,TD01GL003731,1.43375831,1.52185393,20gNaCl
GO:0055085,transmembrane transport,TD01GL003733,2.300370432,2.08669611,20gNaCl
GO:0055085,transmembrane transport,TD01GL003755,1.883575908,1.993319174,20gNaCl
GO:0055085,transmembrane transport,TD01GL003778,1.882636297,2.725327824,20gNaCl
GO:0055085,transmembrane transport,TD01GL003779,2.488050461,3.398385501,20gNaCl
GO:0055085,transmembrane transport,TD01GL003780,2.381731369,3.309106892,20gNaCl
GO:0055085,transmembrane transport,TD01GL003781,2.322470643,3.280743283,20gNaCl
GO:0055085,transmembrane transport,TD01GL003782,2.25423034,3.172037878,20gNaCl
GO:0055085,transmembrane transport,TD01GL003783,2.618491273,3.439619903,20gNaCl
GO:0055085,transmembrane transport,TD01GL003784,2.603480059,3.397682101,20gNaCl
GO:0055085,transmembrane transport,TD01GL003785,2.56082456,3.101257019,20gNaCl
GO:0055085,transmembrane transport,TD01GL003786,2.112047866,2.547413037,20gNaCl
GO:0055085,transmembrane transport,TD01GL003796,1.911472601,1.867681764,20gNaCl
GO:0055085,transmembrane transport,TD01GL003805,1.346244952,0.637678145,20gNaCl
GO:0006865,amino acid transport,TD01GL000165,1.297608172,1.490634889,20gNaCl
GO:0006865,amino acid transport,TD01GL000166,1.460119772,1.572539177,20gNaCl
GO:0006865,amino acid transport,TD01GL000168,1.835749829,1.824181009,20gNaCl
GO:0006865,amino acid transport,TD01GL000215,1.64653263,1.644715667,20gNaCl
GO:0006865,amino acid transport,TD01GL000417,1.852571935,1.616037935,20gNaCl
GO:0006865,amino acid transport,TD01GL000772,1.330423793,1.317366882,20gNaCl
GO:0006865,amino acid transport,TD01GL000773,0.863528999,0.477392274,20gNaCl
GO:0006865,amino acid transport,TD01GL000868,0.830935014,0.744884697,20gNaCl
GO:0006865,amino acid transport,TD01GL000993,2.2036016,1.831756346,20gNaCl
GO:0006865,amino acid transport,TD01GL001231,1.130306764,0.786489113,20gNaCl
GO:0006865,amino acid transport,TD01GL001232,1.21719082,0.777498168,20gNaCl
GO:0006865,amino acid transport,TD01GL001233,1.904600823,1.860629626,20gNaCl
GO:0006865,amino acid transport,TD01GL001240,1.654296403,2.274582674,20gNaCl
GO:0006865,amino acid transport,TD01GL001348,2.502843505,1.891931119,20gNaCl
GO:0006865,amino acid transport,TD01GL001350,2.642826994,1.910237652,20gNaCl
GO:0006865,amino acid transport,TD01GL001517,1.166707714,1.29015365,20gNaCl
GO:0006865,amino acid transport,TD01GL001622,1.453164517,1.952066829,20gNaCl
GO:0006865,amino acid transport,TD01GL001661,2.46073001,3.442894074,20gNaCl
GO:0006865,amino acid transport,TD01GL001662,2.118682901,2.986554801,20gNaCl
